Date\time TX;Machine;Type;Result;Date\time RX;Quote;# PLC;# LU;Row;Destination;Start;End;Start quote;Start date\time;Distance;Timespan;Direction;Logical state;Index;Num. missions;Note;Battery Level Tx;Battery Level Rx;Encoder Value Tx;LU Weight;Parameters
5/13/2025 11:59:32 PM;7S0309;(40) Move in;(1) OK;5/14/2025 12:00:13 AM;9212800;0;;7N0309;9212802;9212170;9213430;58988190;5/14/2025 12:00:08 AM;49775388;00:00:04;Forward;TGLS_113;6;6;;84;84;9212806;0;1
5/13/2025 11:59:32 PM;7S0309;(30) Move;(1) OK;5/14/2025 12:00:08 AM;58988190;0;;;58988193;58988856;58971685;58972345;5/13/2025 11:59:58 PM;15848;00:00:10;Forward;TGLS_113;5;6;;84;84;9212806;0;1
5/13/2025 11:59:32 PM;7S0309;(20) Leaving;(1) OK;5/13/2025 11:59:58 PM;58972345;28710;2175589;;58972345;58988856;58971685;58972345;5/13/2025 11:59:55 PM;0;00:00:02; ;TGLS_223;4;6;;84;84;9212806;1;1
5/13/2025 11:59:32 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:59:55 PM;58972345;28710;2175589;;58972345;58988856;58971685;58988198;5/13/2025 11:59:41 PM;15853;00:00:14;Backward;TGLS_213;3;6;;84;84;9212806;1;1
5/13/2025 11:59:32 PM;7S0309;(50) Move out;(1) OK;5/13/2025 11:59:41 PM;58988198;28710;2175589;7N0309;9212802;9212170;9213430;9212806;5/13/2025 11:59:35 PM;4;00:00:05;Backward;TGLS_203;2;6;;84;84;9212806;1;1
5/13/2025 11:59:32 PM;7S0309;(10) Taking;(1) OK;5/13/2025 11:59:35 PM;9212806;28710;2175589;7N0309;9212802;9212170;9213430;9212806;5/13/2025 11:59:32 PM;4;00:00:03; ;TGLS_107;1;6;;84;84;9212806;1;1
5/13/2025 11:58:05 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:59:31 PM;2892218;28710;2175589;L9-C62-L - WH3 (N 4442);2892218;2800163;2898037;2803069;5/13/2025 11:58:56 PM;89149;00:00:34;Forward;TGLS_202;4;4;;0;0;2890757;1;1
5/13/2025 11:58:05 PM;7N0309;(61) CenterPalletWithChain;(1) OK;5/13/2025 11:58:56 PM;2803069;0;;L9-C62-L - WH3 (N 4442);2892218;2800163;2898037;2803069;5/13/2025 11:58:46 PM;89149;00:00:09; ;TGLS_202;3;4;;0;0;2890757;0;1
5/13/2025 11:58:05 PM;7N0309;(10) Taking with chain;(1) OK;5/13/2025 11:58:46 PM;2803069;28710;2175589;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2803069;5/13/2025 11:58:39 PM;1;00:00:07;Backward;TGLS_201;2;4;;0;0;2890757;1;1
5/13/2025 11:58:05 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:58:39 PM;2803069;0;;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2890757;5/13/2025 11:58:05 PM;87689;00:00:33;Backward;TGLS_201;1;4;;0;0;2890757;0;1
5/13/2025 11:57:30 PM;7S0409;(41) Move in from partial quote;(1) OK;5/13/2025 11:57:47 PM;9225305;0;;7N0409;9225303;9224730;9225928;75430099;5/13/2025 11:57:42 PM;66204796;00:00:05;Backward;TGLS_113;5;5;;82;82;9225306;0;1
5/13/2025 11:57:30 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:57:42 PM;75430099;7120;2116786;;75430101;75429606;75446790;75430100;5/13/2025 11:57:40 PM;1;00:00:02; ;TGLS_233;4;5;;82;82;9225306;1;1
5/13/2025 11:57:30 PM;7S0409;(31) Move partial;(21) OK silent warning;5/13/2025 11:57:40 PM;75430100;7120;2116786;;75430101;75429606;75446790;75429607;5/13/2025 11:57:35 PM;494;00:00:04;Forward;TGLS_213;3;5;;82;82;9225306;1;1
5/13/2025 11:57:30 PM;7S0409;(51) Move out partial;(1) OK;5/13/2025 11:57:35 PM;75429607;7120;2116786;7N0409;9225303;9224730;9225928;9225306;5/13/2025 11:57:33 PM;3;00:00:02;Forward;TGLS_203;2;5;;82;82;9225306;1;1
5/13/2025 11:57:30 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:57:33 PM;9225306;7120;2116786;7N0409;9225303;9224730;9225928;9225306;5/13/2025 11:57:30 PM;3;00:00:03; ;TGLS_107;1;5;;82;82;9225306;1;1
5/13/2025 11:57:25 PM;7S0309;(40) Move in;(1) OK;5/13/2025 11:58:03 PM;9212805;0;;7N0309;9212802;9212170;9213430;59003648;5/13/2025 11:57:58 PM;49790846;00:00:04;Backward;TGLS_113;6;6;;85;84;9212800;0;1
5/13/2025 11:57:25 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:57:58 PM;59003648;0;;;59003645;59003000;59013526;59011908;5/13/2025 11:57:52 PM;8263;00:00:06;Backward;TGLS_113;5;6;;85;85;9212800;0;1
5/13/2025 11:57:25 PM;7S0309;(20) Leaving;(1) OK;5/13/2025 11:57:52 PM;59011908;5028;2177393;;59011911;59003000;59013526;59011909;5/13/2025 11:57:49 PM;2;00:00:02; ;TGLS_233;4;6;;85;85;9212800;813;1
5/13/2025 11:57:25 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:57:49 PM;59011909;5028;2177393;;59011911;59003000;59013526;59003640;5/13/2025 11:57:35 PM;8271;00:00:14;Forward;TGLS_213;3;6;;85;85;9212800;813;1
5/13/2025 11:57:25 PM;7S0309;(50) Move out;(1) OK;5/13/2025 11:57:35 PM;59003640;5028;2177393;7N0309;9212802;9212170;9213430;9212800;5/13/2025 11:57:28 PM;2;00:00:06;Forward;TGLS_203;2;6;;85;85;9212800;813;1
5/13/2025 11:57:25 PM;7S0309;(10) Taking;(1) OK;5/13/2025 11:57:28 PM;9212800;5028;2177393;7N0309;9212802;9212170;9213430;9212800;5/13/2025 11:57:25 PM;2;00:00:03; ;TGLS_107;1;6;;85;85;9212800;813;1
5/13/2025 11:57:20 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:57:29 PM;3858586;0;;L9-C39-R - WH4 (N 4522);3858585;3800078;3897981;3862965;5/13/2025 11:57:20 PM;4380;00:00:08;Backward;TGLS_202;1;1;;0;0;3862965;0;1
5/13/2025 11:56:54 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:57:23 PM;9225305;7120;2116786;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:57:20 PM;2;00:00:02; ;TGLS_203;6;6;;82;82;9225304;1;1
5/13/2025 11:56:54 PM;7S0409;(40) Move in;(1) OK;5/13/2025 11:57:20 PM;9225305;7120;2116786;7N0409;9225303;9224730;9225928;75755523;5/13/2025 11:57:15 PM;66530220;00:00:05;Backward;TGLS_213;5;6;;82;82;9225304;1;1
5/13/2025 11:56:54 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:57:15 PM;75755523;7120;2116786;;75755519;75754868;75772054;75760088;5/13/2025 11:57:07 PM;4569;00:00:08;Backward;TGLS_233;4;6;;82;82;9225304;1;1
5/13/2025 11:56:54 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:57:07 PM;75760088;7120;2116786;;75760090;75754868;75772054;75760088;5/13/2025 11:57:04 PM;2;00:00:02; ;TGLS_134;3;6;;82;82;9225304;1;1
5/13/2025 11:56:54 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:57:04 PM;75760088;7120;2116786;;75760090;75754868;75772054;75755509;5/13/2025 11:57:00 PM;4581;00:00:04;Forward;TGLS_103;2;6;;82;82;9225304;1;1
5/13/2025 11:56:54 PM;7S0409;(50) Move out;(1) OK;5/13/2025 11:57:00 PM;75755509;0;;7N0409;9225303;9224730;9225928;9225304;5/13/2025 11:56:54 PM;1;00:00:05;Forward;TGLS_101;1;6;;82;82;9225304;0;1
5/13/2025 11:56:32 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:57:24 PM;2890757;5028;2177393;L9-C61-R - WH3 (N 4439);2890756;2800163;2898037;2803073;5/13/2025 11:56:49 PM;87683;00:00:35;Forward;TGLS_202;4;4;;0;0;2803068;813;1
5/13/2025 11:56:32 PM;7N0309;(60) Positioning with chains;(1) OK;5/13/2025 11:56:49 PM;2803073;0;;L9-C61-R - WH3 (N 4439);2890756;2800163;2898037;2803073;5/13/2025 11:56:41 PM;87683;00:00:07;Forward;TGLS_202;3;4;;0;0;2803068;0;1
5/13/2025 11:56:32 PM;7N0309;(10) Taking with chain;(1) OK;5/13/2025 11:56:41 PM;2803073;5028;2177393;L9-C01-L  (1F09)- WH3 (N 4321);2803073;2800163;2898037;2803073;5/13/2025 11:56:34 PM;0;00:00:07;Forward;TGLS_201;2;4;;0;0;2803068;813;1
5/13/2025 11:56:32 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:56:34 PM;2803073;0;;L9-C01-L  (1F09)- WH3 (N 4321);2803073;2800163;2898037;2803068;5/13/2025 11:56:32 PM;5;00:00:02;Forward;TGLS_201;1;4;;0;0;2803068;0;1
5/13/2025 11:56:28 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:56:53 PM;3862967;0;;L9-C42-R - WH4 (N 4528);3862966;3800078;3897981;3802991;5/13/2025 11:56:28 PM;59975;00:00:25;Forward;TGLS_201;1;1;;0;0;3802991;0;1
5/13/2025 11:55:34 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:55:54 PM;3802992;0;;L9-C01-R  (1G09)- WH4 (N 4447);3802990;3800078;3897981;3845444;5/13/2025 11:55:34 PM;42454;00:00:20;Backward;TGLS_201;1;1;;0;0;3845444;0;1
5/13/2025 11:50:16 PM;7S0409;(41) Move in from partial quote;(1) OK;5/13/2025 11:50:32 PM;9225305;0;;7N0409;9225303;9224730;9225928;76983162;5/13/2025 11:50:28 PM;67757859;00:00:04;Backward;TGLS_113;5;5;;83;83;9225305;0;1
5/13/2025 11:50:16 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:50:28 PM;76983162;28659;2172056;;76983161;76982709;76999880;76983162;5/13/2025 11:50:27 PM;1;00:00:00; ;TGLS_233;4;5;;83;83;9225305;1;1
5/13/2025 11:50:16 PM;7S0409;(31) Move partial;(21) OK silent warning;5/13/2025 11:50:27 PM;76983162;28659;2172056;;76983161;76982709;76999880;76982712;5/13/2025 11:50:22 PM;449;00:00:05;Forward;TGLS_213;3;5;;83;83;9225305;1;1
5/13/2025 11:50:16 PM;7S0409;(51) Move out partial;(1) OK;5/13/2025 11:50:22 PM;76982712;28659;2172056;7N0409;9225303;9224730;9225928;9225304;5/13/2025 11:50:19 PM;1;00:00:02;Forward;TGLS_203;2;5;;83;83;9225305;1;1
5/13/2025 11:50:16 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:50:19 PM;9225304;28659;2172056;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:50:16 PM;2;00:00:03; ;TGLS_107;1;5;;83;83;9225305;1;1
5/13/2025 11:49:19 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:50:15 PM;3845445;28659;2172056;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:49:54 PM;42456;00:00:21;Forward;TGLS_202;4;4;;0;0;3845443;1;1
5/13/2025 11:49:19 PM;7N0409;(60) Positioning with chains;(1) OK;5/13/2025 11:49:54 PM;3802987;0;;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:49:45 PM;42456;00:00:08;Forward;TGLS_202;3;4;;0;0;3845443;0;1
5/13/2025 11:49:19 PM;7N0409;(10) Taking with chain;(1) OK;5/13/2025 11:49:45 PM;3802987;28659;2172056;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3802989;5/13/2025 11:49:39 PM;2;00:00:06;Forward;TGLS_201;2;4;;0;0;3845443;1;1
5/13/2025 11:49:19 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:49:39 PM;3802989;0;;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3845443;5/13/2025 11:49:19 PM;42456;00:00:20;Backward;TGLS_201;1;4;;0;0;3845443;0;1
5/13/2025 11:44:41 PM;7S0409;(40) Move in;(1) OK;5/13/2025 11:45:04 PM;9225305;0;;7N0409;9225303;9224730;9225928;76983353;5/13/2025 11:45:00 PM;67758050;00:00:04;Backward;TGLS_113;6;6;;83;83;9225305;0;1
5/13/2025 11:44:41 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:45:00 PM;76983353;0;;;76983353;76982709;76999880;76984105;5/13/2025 11:44:58 PM;752;00:00:02;Backward;TGLS_113;5;6;;83;83;9225305;0;1
5/13/2025 11:44:41 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:44:58 PM;76984105;4141;2172069;;76984107;76982709;76999880;76984106;5/13/2025 11:44:56 PM;1;00:00:01; ;TGLS_233;4;6;;83;83;9225305;1;1
5/13/2025 11:44:41 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:44:56 PM;76984106;4141;2172069;;76984107;76982709;76999880;76983351;5/13/2025 11:44:50 PM;756;00:00:05;Forward;TGLS_213;3;6;;83;83;9225305;1;1
5/13/2025 11:44:41 PM;7S0409;(50) Move out;(1) OK;5/13/2025 11:44:50 PM;76983351;4141;2172069;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:44:44 PM;2;00:00:05;Forward;TGLS_203;2;6;;83;83;9225305;1;1
5/13/2025 11:44:41 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:44:44 PM;9225305;4141;2172069;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:44:41 PM;2;00:00:03; ;TGLS_107;1;6;;83;83;9225305;1;1
5/13/2025 11:43:46 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:44:40 PM;3845443;4141;2172069;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:44:19 PM;42456;00:00:20;Forward;TGLS_202;4;4;;0;0;3845444;1;1
5/13/2025 11:43:46 PM;7N0409;(60) Positioning with chains;(1) OK;5/13/2025 11:44:19 PM;3802987;0;;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:44:12 PM;42456;00:00:07;Forward;TGLS_202;3;4;;0;0;3845444;0;1
5/13/2025 11:43:46 PM;7N0409;(10) Taking with chain;(1) OK;5/13/2025 11:44:12 PM;3802987;4141;2172069;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3802988;5/13/2025 11:44:06 PM;1;00:00:06;Forward;TGLS_201;2;4;;0;0;3845444;1;1
5/13/2025 11:43:46 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:44:06 PM;3802988;0;;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3845444;5/13/2025 11:43:46 PM;42457;00:00:19;Backward;TGLS_201;1;4;;0;0;3845444;0;1
5/13/2025 11:40:08 PM;7N0309;(20) Leaving with chain;(1) OK;5/13/2025 11:40:15 PM;2803068;16556;2176224;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2803068;5/13/2025 11:40:08 PM;0;00:00:07;Forward;TGLS_202;1;1;;0;0;2803068;1;1
5/13/2025 11:39:59 PM;7S0409;(40) Move in;(1) OK;5/13/2025 11:40:24 PM;9225305;0;;7N0409;9225303;9224730;9225928;76983350;5/13/2025 11:40:19 PM;67758047;00:00:04;Backward;TGLS_113;6;6;;83;83;9225305;0;1
5/13/2025 11:39:59 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:40:19 PM;76983350;0;;;76983353;76982709;76999880;76985051;5/13/2025 11:40:16 PM;1698;00:00:03;Backward;TGLS_113;5;6;;83;83;9225305;0;1
5/13/2025 11:39:59 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:40:16 PM;76985051;5135;2172074;;76985049;76982709;76999880;76985051;5/13/2025 11:40:14 PM;2;00:00:02; ;TGLS_233;4;6;;83;83;9225305;1;1
5/13/2025 11:39:59 PM;7S0409;(30) Move;(21) OK silent warning;5/13/2025 11:40:13 PM;76985051;5135;2172074;;76985049;76982709;76999880;76983351;5/13/2025 11:40:08 PM;1698;00:00:05;Forward;TGLS_213;3;6;;83;83;9225305;1;1
5/13/2025 11:39:59 PM;7S0409;(50) Move out;(1) OK;5/13/2025 11:40:08 PM;76983351;5135;2172074;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:40:02 PM;2;00:00:05;Forward;TGLS_203;2;6;;83;83;9225305;1;1
5/13/2025 11:39:59 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:40:02 PM;9225305;5135;2172074;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:39:59 PM;2;00:00:03; ;TGLS_107;1;6;;83;83;9225305;1;1
5/13/2025 11:39:30 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:40:05 PM;2803068;0;;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2890759;5/13/2025 11:39:30 PM;87691;00:00:35;Backward;TGLS_202;1;1;;0;0;2890759;0;1
5/13/2025 11:39:01 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:39:58 PM;3845445;5135;2172074;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:39:37 PM;42456;00:00:21;Forward;TGLS_202;4;4;;0;0;3848363;1;1
5/13/2025 11:39:01 PM;7N0409;(60) Positioning with chains;(1) OK;5/13/2025 11:39:37 PM;3802987;0;;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:39:29 PM;42456;00:00:08;Forward;TGLS_202;3;4;;0;0;3848363;0;1
5/13/2025 11:39:01 PM;7N0409;(10) Taking with chain;(1) OK;5/13/2025 11:39:29 PM;3802987;5135;2172074;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3802988;5/13/2025 11:39:22 PM;1;00:00:06;Forward;TGLS_201;2;4;;0;0;3848363;1;1
5/13/2025 11:39:01 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:39:22 PM;3802988;0;;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3848363;5/13/2025 11:39:01 PM;45376;00:00:20;Backward;TGLS_201;1;4;;0;0;3848363;0;1
5/13/2025 11:38:52 PM;7S0309;(20) Leaving;(1) OK;5/13/2025 11:39:32 PM;9212799;16556;2176224;7N0309;9212802;9212170;9213430;9212799;5/13/2025 11:39:30 PM;3;00:00:02; ;TGLS_203;6;6;;86;86;9212799;1;1
5/13/2025 11:38:52 PM;7S0309;(40) Move in;(1) OK;5/13/2025 11:39:30 PM;9212799;16556;2176224;7N0309;9212802;9212170;9213430;59030129;5/13/2025 11:39:22 PM;49817327;00:00:07;Forward;TGLS_213;5;6;;86;86;9212799;1;1
5/13/2025 11:38:52 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:39:22 PM;59030129;16556;2176224;;59030132;59030766;59013646;59017170;5/13/2025 11:39:10 PM;12962;00:00:12;Forward;TGLS_223;4;6;;86;86;9212799;1;1
5/13/2025 11:38:52 PM;7S0309;(10) Taking;(1) OK;5/13/2025 11:39:10 PM;59017170;16556;2176224;;59017169;59030766;59013646;59017171;5/13/2025 11:39:08 PM;2;00:00:01; ;TGLS_125;3;6;;86;86;9212799;1;1
5/13/2025 11:38:52 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:39:08 PM;59017171;16556;2176224;;59017169;59030766;59013646;59030134;5/13/2025 11:38:58 PM;12965;00:00:10;Backward;TGLS_103;2;6;;86;86;9212799;1;1
5/13/2025 11:38:52 PM;7S0309;(50) Move out;(1) OK;5/13/2025 11:38:58 PM;59030134;0;;7N0309;9212802;9212170;9213430;9212799;5/13/2025 11:38:52 PM;3;00:00:05;Backward;TGLS_101;1;6;;86;86;9212799;0;1
5/13/2025 11:38:17 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:38:51 PM;2890760;0;;L9-C61-L - WH3 (N 4440);2890759;2800163;2898037;2803068;5/13/2025 11:38:17 PM;87691;00:00:33;Forward;TGLS_201;1;1;;0;0;2803068;0;1
5/13/2025 11:37:53 PM;7S0409;(40) Move in;(1) OK;5/13/2025 11:38:17 PM;9225305;0;;7N0409;9225303;9224730;9225928;90751673;5/13/2025 11:38:13 PM;81526370;00:00:04;Backward;TGLS_113;6;6;;83;83;9225305;0;1
5/13/2025 11:37:53 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:38:13 PM;90751673;0;;;90751670;90751027;90768197;90752454;5/13/2025 11:38:10 PM;784;00:00:02;Backward;TGLS_113;5;6;;83;83;9225305;0;1
5/13/2025 11:37:53 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:38:10 PM;90752454;21242;2113007;;90752453;90751027;90768197;90752454;5/13/2025 11:38:08 PM;1;00:00:02; ;TGLS_233;4;6;;83;83;9225305;1;1
5/13/2025 11:37:53 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:38:08 PM;90752454;21242;2113007;;90752453;90751027;90768197;90751672;5/13/2025 11:38:01 PM;781;00:00:06;Forward;TGLS_213;3;6;;83;83;9225305;1;1
5/13/2025 11:37:53 PM;7S0409;(50) Move out;(1) OK;5/13/2025 11:38:01 PM;90751672;21242;2113007;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:37:57 PM;2;00:00:04;Forward;TGLS_203;2;6;;83;83;9225305;1;1
5/13/2025 11:37:53 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:37:57 PM;9225305;21242;2113007;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:37:53 PM;2;00:00:03; ;TGLS_107;1;6;;83;83;9225305;1;1
5/13/2025 11:36:57 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:37:53 PM;3848364;21242;2113007;L9-C32-R - WH4 (N 4509);3848363;3800078;3897981;3802988;5/13/2025 11:37:31 PM;45375;00:00:21;Forward;TGLS_202;4;4;;0;0;3845444;1;1
5/13/2025 11:36:57 PM;7N0409;(60) Positioning with chains;(1) OK;5/13/2025 11:37:31 PM;3802988;0;;L9-C32-R - WH4 (N 4509);3848363;3800078;3897981;3802988;5/13/2025 11:37:23 PM;45375;00:00:08;Forward;TGLS_202;3;4;;0;0;3845444;0;1
5/13/2025 11:36:57 PM;7N0409;(10) Taking with chain;(1) OK;5/13/2025 11:37:23 PM;3802988;21242;2113007;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3802988;5/13/2025 11:37:17 PM;1;00:00:06;Forward;TGLS_201;2;4;;0;0;3845444;1;1
5/13/2025 11:36:56 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:37:17 PM;3802988;0;;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3845444;5/13/2025 11:36:56 PM;42457;00:00:20;Backward;TGLS_201;1;4;;0;0;3845444;0;1
5/13/2025 11:34:14 PM;7S0409;(40) Move in;(1) OK;5/13/2025 11:34:40 PM;9225306;0;;7N0409;9225303;9224730;9225928;76983357;5/13/2025 11:34:36 PM;67758054;00:00:04;Backward;TGLS_113;6;6;;84;84;9225305;0;1
5/13/2025 11:34:14 PM;7S0409;(30) Move;(1) OK;5/13/2025 11:34:36 PM;76983357;0;;;76983353;76982709;76999880;76985993;5/13/2025 11:34:31 PM;2640;00:00:04;Backward;TGLS_113;5;6;;84;84;9225305;0;1
5/13/2025 11:34:14 PM;7S0409;(20) Leaving;(1) OK;5/13/2025 11:34:31 PM;76985993;86;2172078;;76985993;76982709;76999880;76985993;5/13/2025 11:34:30 PM;0;00:00:01; ;TGLS_233;4;6;;84;84;9225305;1;1
5/13/2025 11:34:14 PM;7S0409;(30) Move;(21) OK silent warning;5/13/2025 11:34:30 PM;76985993;86;2172078;;76985993;76982709;76999880;76983347;5/13/2025 11:34:23 PM;2646;00:00:06;Forward;TGLS_213;3;6;;84;84;9225305;1;1
5/13/2025 11:34:14 PM;7S0409;(50) Move out;(1) OK;5/13/2025 11:34:23 PM;76983347;86;2172078;7N0409;9225303;9224730;9225928;9225306;5/13/2025 11:34:17 PM;3;00:00:05;Forward;TGLS_203;2;6;;84;84;9225305;1;1
5/13/2025 11:34:14 PM;7S0409;(10) Taking;(1) OK;5/13/2025 11:34:17 PM;9225306;86;2172078;7N0409;9225303;9224730;9225928;9225305;5/13/2025 11:34:14 PM;2;00:00:03; ;TGLS_107;1;6;;84;84;9225305;1;1
5/13/2025 11:33:19 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:34:14 PM;3845445;86;2172078;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802987;5/13/2025 11:33:53 PM;42456;00:00:20;Forward;TGLS_202;4;4;;0;0;3845443;1;1
5/13/2025 11:33:19 PM;7N0409;(60) Positioning with chains;(1) OK;5/13/2025 11:33:53 PM;3802987;0;;L9-C30-R - WH4 (N 4505);3845443;3800078;3897981;3802988;5/13/2025 11:33:45 PM;42455;00:00:07;Forward;TGLS_202;3;4;;0;0;3845443;0;1
5/13/2025 11:33:19 PM;7N0409;(10) Taking with chain;(1) OK;5/13/2025 11:33:45 PM;3802988;86;2172078;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3802988;5/13/2025 11:33:38 PM;1;00:00:06;Forward;TGLS_201;2;4;;0;0;3845443;1;1
5/13/2025 11:33:19 PM;7N0409;(30) Move;(1) OK;5/13/2025 11:33:38 PM;3802988;0;;L9-C01-L  (1H09)- WH4 (N 4448);3802987;3800078;3897981;3845443;5/13/2025 11:33:19 PM;42456;00:00:19;Backward;TGLS_201;1;4;;0;0;3845443;0;1
5/13/2025 11:32:07 PM;7N0309;(20) Leaving with chain;(1) OK;5/13/2025 11:32:14 PM;2803068;28329;2176258;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2803068;5/13/2025 11:32:07 PM;0;00:00:07;Forward;TGLS_202;1;1;;0;0;2803068;1;1
5/13/2025 11:31:30 PM;7N0309;(30) Move;(1) OK;5/13/2025 11:32:05 PM;2803068;0;;L9-C01-R  (1E09)- WH3 (N 4320);2803068;2800163;2898037;2890760;5/13/2025 11:31:30 PM;87692;00:00:35;Backward;TGLS_202;1;1;;0;0;2890760;0;1
5/13/2025 11:30:53 PM;7S0309;(20) Leaving;(1) OK;5/13/2025 11:31:32 PM;9212799;28329;2176258;7N0309;9212802;9212170;9213430;9212799;5/13/2025 11:31:29 PM;3;00:00:02; ;TGLS_203;6;6;;86;86;9212799;1;1
5/13/2025 11:30:53 PM;7S0309;(40) Move in;(1) OK;5/13/2025 11:31:29 PM;9212799;28329;2176258;7N0309;9212802;9212170;9213430;59030128;5/13/2025 11:31:23 PM;49817326;00:00:06;Forward;TGLS_213;5;6;;86;86;9212799;1;1
5/13/2025 11:30:53 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:31:23 PM;59030128;28329;2176258;;59030132;59030766;59013646;59018122;5/13/2025 11:31:11 PM;12010;00:00:11;Forward;TGLS_223;4;6;;86;86;9212799;1;1
5/13/2025 11:30:53 PM;7S0309;(10) Taking;(1) OK;5/13/2025 11:31:11 PM;59018122;28329;2176258;;59018121;59030766;59013646;59018122;5/13/2025 11:31:09 PM;1;00:00:02; ;TGLS_125;3;6;;86;86;9212799;1;1
5/13/2025 11:30:53 PM;7S0309;(30) Move;(1) OK;5/13/2025 11:31:09 PM;59018122;28329;2176258;;59018121;59030766;59013646;59030138;5/13/2025 11:30:58 PM;12017;00:00:10;Backward;TGLS_103;2;6;;86;86;9212799;1;1
5/13/2025 11:30:53 PM;7S0309;(50) Move out;(1) OK;5/13/2025 11:30:58 PM;59030138;0;;7N0309;9212802;9212170;9213430;9212799;5/13/2025 11:30:53 PM;3;00:00:05;Backward;TGLS_101;1;6;;86;86;9212799;0;1
